Base Peak MZ,Component RT,Base Peak Area,Component Area,Compound Name,Match Factor,Sample Name,File Name
42.99,4.57874063068792,1730.75083122225,6618.16456256087,"Acetic acid, butyl ester",64.482022735335,V13.3_ec.si1_01272021_mature,V13.3_ec.si1_01272021_mature.D
43,4.57994426326867,2016.650465903,3747.93618536662,"1H-Tetrazole-1,5-diamine",63.172213310337,V13.1_ec.si2_01272021_mature,V13.1_ec.si2_01272021_mature.D
42.96,4.58023927559749,2016.650465903,4361.83840524803,"Acetic acid, butyl ester",71.7169066846986,V13.1_ec.si2_01272021_mature,V13.1_ec.si2_01272021_mature.D
43,4.58432644133755,1816.97732256603,6305.65413830809,"Cyclobutylamine, N-acetyl-",51.2341077341613,V8.3_dx.ts2_01052021_young,V8.3_dx.ts2_01052021_young.D
207,4.59089534190481,811.885399921027,1064.46245756311,"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",74.3412488106749,V9.9_cx.zm3_01192021_mature,V9.9_cx.zm3_01192021_mature.D
85.03,4.65669190924729,365.728229480743,719.626164417425,"2-Phenethylamine, N-dimethylaminomethylene-",56.3111928248174,V12.3_ac.ta2_01262021_mature,V12.3_ac.ta2_01262021_mature.D
82.96,4.68868702868699,1054.81121853447,2335.08787977024,Trichloromethane,52.7718753783974,V13.1_ec.si2_01272021_mature,V13.1_ec.si2_01272021_mature.D
85,4.71226422861597,1027.58832544231,2441.20304473004,Phenylacetaldehyde N-methyl-N-formylhydrazone,50.6613318654507,V6.2_ec.al2_12312020_young,V6.2_ec.al2_12312020_young.D
84,4.72099383806298,343.23019416014,959.677944973207,N-Ethyl-2-benzyloxycarbonylazetidine,63.6031481507102,V12.2_cc.ta2_01262021_mature,V12.2_cc.ta2_01262021_mature.D
54,4.7227258275213,798.439790536877,3540.77765977581,Norbornadieone,79.672685735513,V12.3_ac.ta2_01262021_mature,V12.3_ac.ta2_01262021_mature.D
83,4.74702972640371,716.900894371033,929.323441434861,Trichloromethane,51.0504966629409,V13.1_ec.si2_01272021_mature,V13.1_ec.si2_01272021_mature.D
48.96,4.84774500386548,1238.29813302081,1900.66920901601,Methylene chloride,50.4680028069218,V13.2_dc.si2_01272021_mature,V13.2_dc.si2_01272021_mature.D
45,4.89719084641022,887.263106309888,804.889332096464,"Propane, 2-ethoxy-",55.922849533215,V13.1_ec.si2_01272021_mature,V13.1_ec.si2_01272021_mature.D
44.96,4.90034139010352,1029.6549540596,4586.40088043082,Diethyl carbitol,77.4557846992705,V7.1_dx.aa3_01042021_young,V7.1_dx.aa3_01042021_young.D
44.94,4.90191778222984,1002.05172302818,2624.66502320717,Acetoin,75.6415275315011,V9.10_ac.zm2_01192021_mature,V9.10_ac.zm2_01192021_mature.D
44.96,4.90285748311112,1502.66766049766,2849.86896724039,Diethyl carbitol,83.4808812996431,V6.2_ec.al2_12312020_young,V6.2_ec.al2_12312020_young.D
45,4.90297690753232,1153.13626969146,2331.578873227,(S)-Isopropyl lactate,72.9067467255132,V9.9_cx.zm3_01192021_mature,V9.9_cx.zm3_01192021_mature.D
43,4.90297707050621,906.184315691509,2133.00256115175,Acetoin,76.7948026923436,V9.9_cx.zm3_01192021_mature,V9.9_cx.zm3_01192021_mature.D
